
                       Record#  "SSCEOBJ"                            "ESSAY"                      ALLTRIM(code)                                        ALLTRIM(subject)                                                 "000000000"                                  DESCRIPT                                                                                            
                             1  SSCEOBJ                              ESSAY                        101                                                  ENG                                                              000000000                                    English Language                                                                                    
                             2  SSCEOBJ                              ESSAY                        102                                                  MTH                                                              000000000                                    Mathematics                                                                                         
                             3  SSCEOBJ                              ESSAY                        103                                                  CIV                                                              000000000                                    Civic Education                                                                                     
                             4  SSCEOBJ                              ESSAY                        201                                                  BIO                                                              000000000                                    Biology                                                                                             
                             5  SSCEOBJ                              ESSAY                        202                                                  CHE                                                              000000000                                    Chemistry                                                                                           
                             6  SSCEOBJ                              ESSAY                        203                                                  PHY                                                              000000000                                    Physics                                                                                             
                             7  SSCEOBJ                              ESSAY                        204                                                  FMT                                                              000000000                                    Further Mathematics                                                                                 
                             8  SSCEOBJ                              ESSAY                        205                                                  HEA                                                              000000000                                    Health Education                                                                                    
                             9  SSCEOBJ                              ESSAY                        206                                                  AGR                                                              000000000                                    Agricultural Science                                                                                
                            10  SSCEOBJ                              ESSAY                        207                                                  PHE                                                              000000000                                    Physical Education                                                                                  
                            11  SSCEOBJ                              ESSAY                        208                                                  CMP                                                              000000000                                    Computer Studies                                                                                    
                            12  SSCEOBJ                              ESSAY                        301                                                  TEC                                                              000000000                                    Technical Drawing                                                                                   
                            13  SSCEOBJ                              ESSAY                        302                                                  MET                                                              000000000                                    Metal Work                                                                                          
                            14  SSCEOBJ                              ESSAY                        303                                                  BEL                                                              000000000                                    Basic Electricity                                                                                   
                            15  SSCEOBJ                              ESSAY                        304                                                  ELE                                                              000000000                                    Electronics                                                                                         
                            16  SSCEOBJ                              ESSAY                        305                                                  ATM                                                              000000000                                    Auto Mechanics                                                                                      
                            17  SSCEOBJ                              ESSAY                        306                                                  BUI                                                              000000000                                    Building Construction                                                                               
                            18  SSCEOBJ                              ESSAY                        307                                                  WWK                                                              000000000                                    Wood Work                                                                                           
